"skills","avg_salary","job_title"
"sql","550000.00","Staff Data Scientist/Quant Researcher"
"python","550000.00","Staff Data Scientist/Quant Researcher"
"sql","525000.00","Staff Data Scientist - Business Analytics"
"cassandra","375000.00","Senior Data Scientist"
"docker","325000.00","Senior Machine Learning Engineer"
"gcp","325000.00","Principal Machine Learning Engineer"
"kubernetes","325000.00","Senior Machine Learning Engineer"
"python","325000.00","Principal Machine Learning Engineer"
"ansible","325000.00","Senior Machine Learning Engineer"
"airflow","325000.00","Principal Machine Learning Engineer"
"terraform","325000.00","Senior Machine Learning Engineer"
"sql","325000.00","Principal Machine Learning Engineer"
"spark","325000.00","Principal Machine Learning Engineer"
"chef","325000.00","Senior Machine Learning Engineer"
"kubernetes","325000.00","Principal Machine Learning Engineer"
"aws","325000.00","Principal Machine Learning Engineer"
"excel","325000.00","Senior Machine Learning Engineer"
"aws","325000.00","Senior Machine Learning Engineer"
"java","325000.00","Principal Machine Learning Engineer"
"docker","325000.00","Principal Machine Learning Engineer"
"aws","320000.00","Director Level - Product Management - Data Science"
"scikit-learn","320000.00","Director Level - Product Management - Data Science"
"datarobot","320000.00","Director Level - Product Management - Data Science"
"keras","320000.00","Director Level - Product Management - Data Science"
"tensorflow","320000.00","Director Level - Product Management - Data Science"
"pytorch","320000.00","Director Level - Product Management - Data Science"
"azure","320000.00","Director Level - Product Management - Data Science"
"java","300000.00","Distinguished Data Scientist"
"golang","300000.00","Machine Learning Engineer"
"kubernetes","300000.00","Distinguished Data Scientist"
"c","300000.00","Principal Data Scientist"
"tensorflow","300000.00","Distinguished Data Scientist"
"pytorch","300000.00","Distinguished Data Scientist"
"scala","300000.00","Distinguished Data Scientist"
"spark","300000.00","Distinguished Data Scientist"
"sas","288000.00","Pre-Sales Data Scientist, Financial Services"
"snowflake","288000.00","Pre-Sales Data Scientist, Financial Services"
"r","288000.00","Pre-Sales Data Scientist, Financial Services"
"oracle","288000.00","Pre-Sales Data Scientist, Financial Services"
"databricks","288000.00","Pre-Sales Data Scientist, Financial Services"
"qlik","288000.00","Pre-Sales Data Scientist, Financial Services"
"spark","288000.00","Pre-Sales Data Scientist, Financial Services"
"aws","288000.00","Pre-Sales Data Scientist, Financial Services"
"tableau","288000.00","Pre-Sales Data Scientist, Financial Services"
"sql","288000.00","Pre-Sales Data Scientist, Financial Services"
"redshift","288000.00","Pre-Sales Data Scientist, Financial Services"
"azure","288000.00","Pre-Sales Data Scientist, Financial Services"
"matlab","288000.00","Pre-Sales Data Scientist, Financial Services"
"nosql","288000.00","Pre-Sales Data Scientist, Financial Services"
"python","288000.00","Pre-Sales Data Scientist, Financial Services"
